2025-05-27 12:38:19.649,1.9,nan,-0.1,0.2,00:00:00,0.0,0.6,-0.6,244.0
2025-05-27 12:38:20.642,1.9,nan,-0.1,0.2,00:00:00,0.0,0.6,-0.6,244.0
2025-05-27 12:38:21.645,2.0,nan,-0.1,0.2,00:00:00,0.0,0.6,-0.6,243.0
2025-05-27 12:38:22.642,2.2,nan,-0.0,0.2,00:00:00,0.0,0.7,-0.6,243.0
2025-05-27 12:38:23.641,1.4,nan,-0.0,0.2,00:00:00,0.0,0.6,-0.6,243.0
2025-05-27 12:38:24.641,1.4,nan,-0.1,0.2,00:00:00,0.0,0.6,-0.6,243.0
2025-05-27 12:38:25.643,2.4,nan,-0.1,0.2,00:00:00,0.0,0.7,-0.6,243.0
2025-05-27 12:38:26.646,1.7,nan,-0.0,0.2,00:00:00,0.0,0.7,-0.6,243.0
2025-05-27 12:38:27.644,2.1,nan,-0.1,0.1,00:00:00,0.0,0.8,-0.6,243.0
2025-05-27 12:38:28.642,2.1,nan,-0.0,0.1,00:00:00,0.0,0.7,-0.6,243.0
2025-05-27 12:38:29.641,2.0,nan,-0.0,0.1,00:00:00,0.0,0.7,-0.6,243.0
2025-05-27 12:38:30.641,2.9,nan,0.0,0.2,00:00:00,0.0,0.7,-0.7,243.0
2025-05-27 12:38:31.698,1.8,nan,-0.0,0.2,00:00:00,0.0,0.7,-0.7,243.0
2025-05-27 12:38:32.648,2.2,nan,-0.0,0.2,00:00:00,0.0,0.8,-0.7,243.0
2025-05-27 12:38:33.681,1.9,nan,-0.0,0.2,00:00:00,0.0,0.8,-0.7,243.0
2025-05-27 12:38:34.644,2.7,nan,0.0,0.2,00:00:00,0.0,0.8,-0.7,243.0
2025-05-27 12:38:35.651,2.1,nan,-0.0,0.2,00:00:00,0.0,0.8,-0.7,243.0
2025-05-27 12:38:36.641,1.5,nan,-0.0,0.2,00:00:00,0.0,0.8,-0.6,243.0
2025-05-27 12:38:37.646,2.4,nan,-0.0,0.1,00:00:00,0.0,0.7,-0.6,243.0
2025-05-27 12:38:38.642,2.4,nan,-0.0,0.1,00:00:00,0.0,0.7,-0.5,243.0
2025-05-27 12:38:39.641,2.7,nan,-0.0,0.1,00:00:00,0.0,0.7,-0.5,243.0
2025-05-27 12:38:40.649,2.1,nan,-0.0,0.1,00:00:00,0.0,0.7,-0.5,243.0
2025-05-27 12:38:41.644,2.4,nan,-0.0,0.1,00:00:00,0.0,0.7,-0.5,243.0
2025-05-27 12:38:42.652,2.1,nan,-0.0,0.1,00:00:00,0.0,0.7,-0.5,243.0
2025-05-27 12:38:43.641,2.3,nan,-0.0,0.1,00:00:00,0.0,0.7,-0.5,243.0
2025-05-27 12:38:44.644,2.4,nan,-0.1,0.1,00:00:00,0.0,0.7,-0.5,243.0
2025-05-27 12:38:45.641,2.0,nan,-0.1,0.1,00:00:00,0.0,0.7,-0.5,243.0
2025-05-27 12:38:46.641,1.9,nan,-0.0,0.1,00:00:00,0.0,0.7,-0.5,243.0
2025-05-27 12:38:47.644,2.0,nan,-0.0,0.1,00:00:00,0.0,0.7,-0.6,243.0
2025-05-27 12:38:48.642,2.3,nan,-0.1,0.1,00:00:00,0.0,0.7,-0.6,243.0
2025-05-27 12:38:49.645,2.3,nan,-0.1,0.1,00:00:00,0.0,0.7,-0.6,243.0
2025-05-27 12:38:50.641,2.7,nan,-0.1,0.1,00:00:00,0.0,0.7,-0.6,243.0
2025-05-27 12:38:51.641,2.4,nan,-0.1,0.1,00:00:00,0.0,0.7,-0.6,243.0
2025-05-27 12:38:52.641,2.5,nan,-0.1,0.1,00:00:00,0.0,0.6,-0.7,243.0
2025-05-27 12:38:53.641,2.1,nan,-0.1,0.2,00:00:00,0.0,0.6,-0.7,243.0
2025-05-27 12:38:54.652,2.3,nan,-0.1,0.2,00:00:00,0.0,0.6,-0.7,243.0
